source_row,model,title,ground_truth_valid,ground_truth_source,ground_truth_count,matched_ground_truth,noise_label,noise_free,noise_reason,model_output_matches_ground_truth,model_output_issue,model_signature,relevant_nosmi,reaction_count,max_reactant_count,max_reagent_count,max_product_count,template_failure,missing_product_atom_maps,identical_structures,evaluation_error,many_reactants,many_products,many_reagents,no_reagent,rare_template,many_products_filtered,many_products_passed,many_reactants_filtered,many_reactants_passed,many_reagents_filtered,many_reagents_passed,no_reagent_filtered,no_reagent_passed,rare_template_filtered,rare_template_passed
10,qwen-3.5-9b-off,"(3β,5β,14β,17β)-14-Amino-3-[[[[2-hydroxy-1-(phenylmethyl)ethyl]amino]carbonyl]oxy]androstane-17-carboxylic Acid, Methyl Ester Hydrochloride",True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""COC(=O)C1CCC2(N)C3CCC4CC(OC(=O)NC(CO)Cc5ccccc5)CCC4(C)C3CCC12C"", ""Cl""], ""reactants"": [""COC(=O)C1CCC2(N)C3CCC4CC(O)CCC4(C)C3CCC12C"", ""ClCCl"", ""NC(CO)Cc1ccccc1"", ""O=C(n1ccnc1)n1ccnc1""], ""reagents"": []}",0,1,4,0,2,0,0,0,,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
11,qwen-3.5-9b-off,4-isopropylphenylacetimidate hydrochloride,True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""CC(C)c1ccc(CC(=N)O)cc1"", ""Cl""], ""reactants"": [""CC(C)c1ccc(CC#N)cc1"", ""CCO"", ""CCO"", ""CCOCC"", ""Cl"", ""Cl"", ""NCCN""], ""reagents"": [""CCOCC""]}",0,2,4,1,2,1,1,0,product atom mapping is incomplete,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0
12,qwen-3.5-9b-off,sodium (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CS(=O)(=O)c1ccc(C(=C(CCO)C(=O)O)c2ccc(Cl)cc2)cc1"", ""[NaH]""], ""reactants"": [""CCOC(=O)C(CCO)=C(c1ccc(Cl)cc1)c1ccc(S(C)(=O)=O)cc1"", ""O"", ""[NaH]""], ""reagents"": [""CCO""]}",0,1,3,1,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
13,qwen-3.5-9b-off,Cis-3-[2-[2-methyl-3-[4-(aminoiminomethyl)phenyl]-isoxazolidin-5-yl]acetyl]amino-N-(3-methylphenylsulfonyl)-L-alanine monohydrogenchloride,True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""Cc1cccc(S(=O)(=O)NC(CNC(=O)CC2CC(c3ccc(C=NN)cc3)N(C)O2)C(=O)O)c1"", ""Cl""], ""reactants"": [""COC(=O)C(CNC(=O)CC1CC(c2ccc(C=NN)cc2)N(C)O1)NS(=O)(=O)c1cccc(C)c1"", ""Cl"", ""O""], ""reagents"": []}",0,1,3,0,2,0,0,0,,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
14,qwen-3.5-9b-off,"sodium 3, 6, 8-trisulfonaphthylthiourea",False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,,1,1,0,0,2,1,1,0,Reaction contains an unresolved (NoSmi) compound.,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
15,qwen-3.5-9b-off,Benzyl trans4-aminomethylcyclohexane1-carboxylate-p-toluenesulfonic acid salt,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Cc1ccc(S(=O)(=O)O)cc1"", ""NCC1CCC(C(=O)OCc2ccccc2)CC1""], ""reactants"": [""Cc1ccc(S(=O)(=O)O)cc1"", ""NCC1CCC(C(=O)O)CC1"", ""OCc1ccccc1""], ""reagents"": [""Cc1ccccc1""]}",0,1,3,1,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
16,qwen-3.5-9b-off,b) Synthesis of Ala-cholesterol (3-O-(L-alanyl)-cholesterol),True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C"", ""CC(N)C(=O)O""], ""reactants"": [""CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C"", ""CC(NC(=O)OCc1ccccc1)C(=O)O""], ""reagents"": [""C1CCOC1"", ""CC(=O)O"", ""[Pd]""]}",0,1,2,3,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
17,qwen-3.5-9b-off,Lithium 2-isopropyl-4-phenylindenide,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CC(C)c1cc2cccc(-c3ccccc3)c2c1"", ""[LiH]""], ""reactants"": [""CC(C)C1=Cc2c(cccc2-c2ccccc2)C1"", ""[Li][CH2]CCC""], ""reagents"": [""Cc1ccccc1""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
18,qwen-3.5-9b-off,"(S)-3-(3,4-dichlorophenyl)-3-(2-hydroxyethyl)pyrrolidine (R,R)-di-p-anisoyltartaric acid",True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""COc1ccc(C(=O)C(O)(C(=O)O)C(O)(C(=O)O)C(=O)c2ccc(OC)cc2)cc1"", ""OCCC1(c2ccc(Cl)c(Cl)c2)CCNC1""], ""reactants"": [""COc1ccc(C(=O)C(O)(C(=O)O)C(O)(C(=O)O)C(=O)c2ccc(OC)cc2)cc1"", ""OCCC1(c2ccc(Cl)c(Cl)c2)CCNC1""], ""reagents"": [""CO"", ""Cl"", ""O""]}",0,1,2,3,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
19,qwen-3.5-9b-off,"(−)-(4R)-4-(3-thienylmethyl)-4,5-dihydro-1,3-thiazol-2-ylamine hydrochloride",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Cl"", ""NC1=NC(Cc2ccsc2)CS1""], ""reactants"": [""CC(C)(C)NC(=S)NC(CO)Cc1ccsc1"", ""Cl""], ""reagents"": []}",0,1,2,0,2,0,0,0,,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
20,qwen-3.5-9b-off,"4,5,7,8,9,10-hexahydropyrido[4,3-b]pyrrolo[3,2,1-hi]indole hydrochloride",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Cl"", ""c1cc2c3c(c1)c1c(n3CC2)CCNC1""], ""reactants"": [""Cl"", ""NN1CCc2ccccc21"", ""O=C1CCCCN1""], ""reagents"": [""CC(C)O"", ""O""]}",0,1,3,2,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
21,qwen-3.5-9b-off,"2-nitro-1,4-phenylenediamine hydrochloride",True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""Cl"", ""Nc1ccc(N)c(N(=O)O)c1""], ""reactants"": [""Cl"", ""Nc1ccc(N)c(N(=O)O)c1""], ""reagents"": [""C1COCCO1"", ""CCO""]}",0,1,2,2,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
22,qwen-3.5-9b-off,"1-[(2R,3R)-2-(2,4-difluorophenyl)-2-hydroxy-3-[2-oxo-3-[4-(1H-tetrazol-1-yl)phenyl]-1-imidazolidinyl]butyl]-4-[(2,2-dimethylpropanoyloxy)methyl]-1H-1,2,4-triazolium chloride",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CC(N1CCN(c2ccc(-n3cnnn3)cc2)C1=O)C(O)(CN1CN(COC(=O)C(C)(C)C)C=N1)c1ccc(F)cc1F"", ""Cl""], ""reactants"": [""CC(C)(C)C(=O)OCCl"", ""CC(N1CCN(c2ccc(-n3cnnn3)cc2)C1=O)C(O)(Cn1cncn1)c1ccc(F)cc1F""], ""reagents"": [""CC#N""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
23,qwen-3.5-9b-off,1-(2-methoxyphenyl)-4-[3-(cyclohexanecarbonyl)-3-(phenyl)butyl]piperazine maleate,True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""COc1ccccc1N1CCN(CCC(C)(C(=O)C2CCCCC2)c2ccccc2)CC1"", ""O=C(O)C=CC(=O)O""], ""reactants"": [""COc1ccccc1N1CCN(CCC(C)(C(=O)C2CCCCC2)c2ccccc2)CC1"", ""O=C(O)C=CC(=O)O""], ""reagents"": [""CO"", ""COC(C)(C)C""]}",0,1,2,3,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
24,qwen-3.5-9b-off,(S)-4-[4-[(4-chlorophenyl)(2-pyridyl)-methoxy]piperidino]butanoic acid monobenzenesulfonic acid salt,True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1"", ""O=S(=O)(O)c1ccccc1""], ""reactants"": [""O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1"", ""O=S(=O)(O)c1ccccc1""], ""reagents"": [""CCOC(C)=O"", ""O""]}",0,1,2,2,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
25,qwen-3.5-9b-off,creatine monohydrate,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CCOC(=O)CN(C)C(=N)N"", ""Cl""], ""reactants"": [""CC(=O)Cl"", ""CCO"", ""CN(CC(=O)O)C(=N)N""], ""reagents"": [""O""]}",0,1,3,1,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
26,qwen-3.5-9b-off,"2-tert-Butyl-4-{4-[3-(4-methyl-5-methyl-4H-[1,2,4]triazol-3-ylsulfanyl)-propyl]-piperazin-1-yl}-6-tert-butyl-pyrimidine hydrochloride",True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""Cc1nnc(SCCCN2CCN(c3cc(C(C)(C)C)nc(C(C)(C)C)n3)CC2)n1C"", ""Cl""], ""reactants"": [""CC(C)(C)c1cc(N2CCN(CCCCl)CC2)nc(C(C)(C)C)n1"", ""Cc1nnc(S)n1C""], ""reagents"": [""CN(C)C=O"", ""I"", ""O"", ""[KH]"", ""[LiH]""]}",0,1,2,5,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
27,qwen-3.5-9b-off,"1-[4-(5-aminomethyl-2-oxo-oxazolidin-3-yl)-2-fluoro-phenyl]-2,3-dihydro-1H-pyridin-4-one hydrochloride",True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""Cl"", ""NCC1CN(c2ccc(N3C=CC(=O)CC3)c(F)c2)C(=O)O1""], ""reactants"": [""CC(C)(C)OC(=O)NCC1CN(c2ccc(N3C=CC(=O)CC3)c(F)c2)C(=O)O1"", ""Cl""], ""reagents"": [""C1COCCO1"", ""CO""]}",0,1,2,2,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
28,qwen-3.5-9b-off,"4-(2-chloroethyl)thiomorpholin-4-ium 1,1-dioxide chloride (41-2)",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Cl"", ""O=S1(=O)CCN(CCCl)CC1""], ""reactants"": [""Cl"", ""O=S(Cl)Cl"", ""O=S1(=O)CCN(CCO)CC1""], ""reagents"": [""ClC(Cl)Cl"", ""c1ccncc1""]}",0,1,3,2,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
29,qwen-3.5-9b-off,"(3R,5S)-5-(benzylamino-methyl)-1-methanesulfonyl-pyrrolidine-3-thiol trifluoro-acetate",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CS(=O)(=O)N1CC(S)CC1CNCc1ccccc1"", ""O=C(O)C(F)(F)F""], ""reactants"": [""COc1ccc(CSC2CC(CNCc3ccccc3)N(S(C)(=O)=O)C2)cc1"", ""O=C(O)C(F)(F)F""], ""reagents"": [""CC[SiH](CC)CC""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
30,qwen-3.5-9b-off,sodium octoate,True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""CCCCCCCC(=O)O"", ""[NaH]""], ""reactants"": [""CCCCCCCC(=O)O"", ""[NaH]""], ""reagents"": [""CCO"", ""O""]}",0,1,2,3,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
31,qwen-3.5-9b-off,3-(3-Aminomethyl-phenyl)-propionic acid methyl ester hydrochloride salt,True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""COC(=O)CCc1cccc(CN)c1"", ""Cl""], ""reactants"": [""COC(=O)C=Cc1cccc(C#N)c1"", ""Cl""], ""reagents"": [""C1COCCO1"", ""CO"", ""[Pd]""]}",0,1,2,3,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
32,qwen-3.5-9b-off,"triphenylsulfonium 2-acetoxy-1,1,3,3,3-pentafluoropropane-1-sulfonate",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CC(=O)OC(C(F)(F)F)C(F)(F)S(=O)(=O)O"", ""c1ccc([SH](c2ccccc2)c2ccccc2)cc1""], ""reactants"": [""CC(=O)OC(C)=O"", ""O=S(=O)(O)C(F)(F)C(O)C(F)(F)F"", ""c1ccc([SH](c2ccccc2)c2ccccc2)cc1""], ""reagents"": [""CCN(CC)CC"", ""CN(C)c1ccncc1"", ""ClCCl"", ""c1ccncc1""]}",0,1,3,4,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
33,qwen-3.5-9b-off,"2-amino-2-{2-[4-(3-phenoxy-propoxy)-phenyl]-ethyl}-propane-1,3-diol hydro-chloride",True,human_validated,1,,noise-free,1,,0,NoSmi_in_skeleton,,1,1,0,0,2,1,1,0,Reaction contains an unresolved (NoSmi) compound.,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
34,qwen-3.5-9b-off,4-tert-Butylbenzenediazonium tetrafluoroborate (4).,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CC(C)(C)c1ccc(N#N)cc1"", ""FB(F)(F)F""], ""reactants"": [""CC(C)(C)c1ccc(N)cc1"", ""FB(F)(F)F"", ""N#O""], ""reagents"": [""CC#N"", ""ClCCl""]}",0,1,3,2,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
35,qwen-3.5-9b-off,"(1R,2S)-1-amino-2-vinylcyclopropane carboxylic acid methyl ester hydrochloride",False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,,1,1,0,0,3,1,1,0,Reaction contains an unresolved (NoSmi) compound.,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
36,qwen-3.5-9b-off,"2,6-Dimethylphenyl 4-aminobutanoate hydrochloride",True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""Cc1cccc(C)c1OC(=O)CCCN"", ""Cl""], ""reactants"": [""Cc1cccc(C)c1OC(=O)CCCNC(=O)OC(C)(C)C"", ""Cl""], ""reagents"": [""ClCCl""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
37,qwen-3.5-9b-off,8-Fluoro-3-(piperidin-4-yl)quinolin-2(1H)-one hydrochloride,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Cl"", ""O=c1nc2c(F)cccc2cc1C1CCNCC1""], ""reactants"": [""COC(=O)C(C1CCN(C(=O)OC(C)(C)C)CC1)C(O)c1cccc(F)c1NC(=O)C(C)(C)C"", ""Cl""], ""reagents"": [""CO"", ""O""]}",0,1,2,2,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
38,qwen-3.5-9b-off,Preparation of (3R)-3-(2-Hydroxy-2-thien-2-ylpent-4-enoyloxy)-1-(3-phenoxypropyl)-1-azoniabicyclo[2.2.2]octane bromide,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Br"", ""C=CCC(O)(C(=O)OC1CN2(CCCOc3ccccc3)CCC1CC2)c1cccs1""], ""reactants"": [""BrCCCOc1ccccc1"", ""C=CCC(O)(C(=O)OC1CN2CCC1CC2)c1cccs1""], ""reagents"": [""CC#N"", ""ClC(Cl)Cl""]}",0,1,2,2,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
39,qwen-3.5-9b-off,4-(2-amino-1H-imidazol-4-yl)-N-isobutyl-butyramide hydrochloride,True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""CC(C)CNC(=O)CCCc1cnc(N)n1"", ""Cl""], ""reactants"": [""CC(C)CNC(=O)CCCc1cn(C(=O)OC(C)(C)C)c(N)n1"", ""Cl""], ""reagents"": [""CCOCC"", ""Cc1ccccc1"", ""ClCCl"", ""O=C(O)C(F)(F)F""]}",0,1,2,5,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
40,qwen-3.5-9b-off,2(S)-ethoxy-3-{4-[6-(3-heptyl-1-methylureido)pyrid-2-yl]phenyl}propanoic acid hydrochloride,True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CC(OCC)C(=O)O)cc2)n1"", ""Cl""], ""reactants"": [""CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CC(OCC)C(=O)O)cc2)n1"", ""Cl""], ""reagents"": [""CCO""]}",0,1,2,1,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
41,qwen-3.5-9b-off,"1,1-dimethyl-4-cyclohexylpiperazin-1-ium iodide",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CN1(C)CCN(C2CCCCC2)CC1"", ""I""], ""reactants"": [""CI"", ""CN1CCN(C2CCCCC2)CC1""], ""reagents"": [""CCO""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
42,qwen-3.5-9b-off,styrene methyl styrene,False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,"{""products"": [""O=C1CCCCCN1""], ""reactants"": [""O=C1CCCCCN1""], ""reagents"": [""C=Cc1ccccc1"", ""CC(C)(C#N)N=NC(C)(C)C#N"", ""CC=Cc1ccccc1""]}",0,1,1,3,1,1,0,1,template extraction failed,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
43,qwen-3.5-9b-off,"Step 2: (2S)-2-aminopropyl-2,2-dimethylpropanoate hydrochloride",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""CC(N)COC(=O)C(C)(C)C"", ""Cl""], ""reactants"": [""CC(COC(=O)C(C)(C)C)NC(=O)OC(C)(C)C"", ""Cl""], ""reagents"": [""C1COCCO1"", ""CCOC(C)=O""]}",0,1,2,2,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
44,qwen-3.5-9b-off,"Synthesis of sodium 1,1,3,3,3-pentafluoro-2-hydroxy-propanesulfonate",True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""O=S(=O)(O)C(F)(F)C(O)C(F)(F)F"", ""[NaH]""], ""reactants"": [""CC(C)(C)C(=O)OC(C(F)(F)F)C(F)(F)S(=O)(=O)O"", ""[NaH]""], ""reagents"": [""CO"", ""O"", ""[NaH]""]}",0,1,2,3,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
45,qwen-3.5-9b-off,Flupirtine Maleate,True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N"", ""O=C(O)C=CC(=O)O""], ""reactants"": [""CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N"", ""O=C(O)C=CC(=O)O""], ""reagents"": [""CC(C)O""]}",0,1,2,2,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
46,qwen-3.5-9b-off,"triphenylsulfonium 2-hydroxy-1,1-difluoroethanesulfonate",True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""O=S(=O)(O)C(F)(F)CO"", ""c1ccc([SH](c2ccccc2)c2ccccc2)cc1""], ""reactants"": [""O=S(=O)(O)C(F)(F)CO"", ""c1ccc([SH](c2ccccc2)c2ccccc2)cc1""], ""reagents"": [""Cl"", ""ClC(Cl)Cl"", ""O"", ""[NaH]"", ""c1ccc([SH](c2ccccc2)c2ccccc2)cc1""]}",0,1,2,6,2,1,0,1,template extraction failed,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0
47,qwen-3.5-9b-off,"[4′-(6-Ethoxy-pyridin-3-yl)-2′-ethylaminomethyl-6-methoxy-biphenyl-3-yl]-acetic acid ethyl ester, hydrochloride",True,human_validated,1,,noise-free,1,,0,ground_truth_mismatch,"{""products"": [""CCNCc1cc(-c2ccc(OCC)nc2)ccc1-c1cc(CC(=O)OCC)ccc1OC"", ""Cl""], ""reactants"": [""CCOC(=O)Cc1ccc(OC)c(-c2ccc(-c3ccc(OCC)nc3)cc2CN(CC)C(=O)OC(C)(C)C)c1"", ""Cl""], ""reagents"": [""C1COCCO1""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
