title,paragraph,prediction,error,gpt-4.1-mini_smiles,gpt-4.1-mini_skeleton,gpt-4.1-mini_rxn
"2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate","Compound 23 (0.00359 mol) was dissolved in 2-propanone (25 ml). A solution of (Z)-2-butenedioic acid (0.00359 mol) in 2-propanone (5 ml) was added. The mixture was stirred for 16 hours. The precipitate was filtered off, washed with 2-propanone (2.5 ml), and dried, yielding 3.12 g [2S-[2α,4α[(R*,R*)]]]-2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate (1:1) (compound 25).","{""Reactants, Solvents, Catalysts"": {""A"": ""Compound 23"", ""B"": ""(Z)-2-butenedioic acid"", ""C"": ""2-propanone""}, ""Products"": {""D"": ""[2S-[2α,4α[(R*,R*)]]]-2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate (1:1)""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+B+C->mixture2"", ""3 (Reaction, Stir)"": ""mixture2->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"", ""6 (Work-up, Dry)"": ""mixture5->D""}}",,"{'A': '[Compound 23 (NoSmi)]', 'B': 'C(\\C=C/C(=O)O)(=O)O', 'C': 'CC(C)=O', 'D': '[2S-[2α,4α[(R*,R*)]]]-2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate (1:1) (NoSmi)]'}",['A.C>B.C>D'],"['[Compound 23 (NoSmi)].CC(C)=O>C(\\C=C/C(=O)O)(=O)O.CC(C)=O>[2S-[2α,4α[(R*,R*)]]]-2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate (1:1) (NoSmi)]']"
"(+)-(5)6-Methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole Sodium Salt","To a stirring suspension of 650 mg (1.89 mmol) of (+)5)6-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole in 6.5 mL of methyl ethyl ketone (MEK) in a 50 mL flask was added, at ambient temperature 0.39 mL of a 5M aqueous sodium hydroxide solution. To that mixture was added 13 mL of toluene. The resulting mixture was turbid, so an additional 6.5 mL of MEK was added and the mixture became a clear, yellow solution. This mixture was allowed to stir at ambient temperature overnight. The following morning, several crystals of 6-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole sodium salt were added to act as seed crystals, but no product crystals formed. A stream of dry nitrogen gas was blown over the mixture to begin removing the solvent After approximately 10 minutes, the product precipitated. The solids were isolated by vacuum filtration and washed with a small amount of diethyl ether. The solids were then placed into a vacuum desiccator to remove the last traces of ether, to yield approximately 500 mg of the desired product as an off-white powder.","{""Reactants, Solvents, Catalysts"": {""A"": ""(+)-5,6-methoxy-2-[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl-1H-benzimidazole"", ""B"": ""methyl ethyl ketone"", ""C"": ""sodium hydroxide aqueous solution"", ""D"": ""toluene"", ""E"": ""diethyl ether"", ""F"": ""nitrogen""}, ""Products"": {""G"": ""6-methoxy-2-[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl-1H-benzimidazole sodium salt""}, ""Reaction Steps"": {""1 (Reaction, Suspend and Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+D->mixture2"", ""3 (Reaction, Add)"": ""mixture2+B->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Reaction, Seed Crystal Add)"": ""mixture4+G->mixture5"", ""6 (Reaction, Gas Blow)"": ""mixture5+F->mixture6+G"", ""7 (Work-up, Filter)"": ""mixture6->mixture7+G"", ""8 (Work-up, Wash)"": ""mixture7+E->mixture8+G"", ""9 (Work-up, Dry)"": ""mixture8->G""}}",,"{'A': '[(+)-5,6-methoxy-2-[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl-1H-benzimidazole (NoSmi)]', 'B': 'C(C)C(=O)C', 'C': '[OH-].[Na+]', 'D': 'CC1=CC=CC=C1', 'E': 'C(C)OCC', 'F': '[N]', 'G': '[Na].COC=1C=CC2=C(NC(=N2)S(=O)CC2=NC=C(C(=C2C)OC)C)C1'}",,['Error: empty rxn_codes']
o-Bromobenzoic Acid Potassium Salt,"To a solution of o-bromobenzoic acid (201.03 g, 1.0 mol) in MeOH (500 mL), K2CO3 (69 g, 1.0 mol) was added. The mixture was concentrated to give the desired product (239.1 g, 1.0 mol, 100%).","{""Reactants, Solvents, Catalysts"": {""A"": ""o-bromobenzoic acid"", ""B"": ""methanol"", ""C"": ""potassium carbonate""}, ""Products"": {""D"": ""o-bromobenzoic acid potassium salt""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Work-up, Concentrate)"": ""mixture1->D""}}",,"{'A': 'BrC1=C(C(=O)O)C=CC=C1', 'B': 'CO', 'C': 'C([O-])([O-])=O.[K+].[K+]', 'D': '[K+].BrC1=C(C(=O)[O-])C=CC=C1'}",['A.B.C>D'],['BrC1=C(C(=O)O)C=CC=C1.CO.C([O-])([O-])=O.[K+].[K+]>[K+].BrC1=C(C(=O)[O-])C=CC=C1']
"5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide","A solution of 5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid methyl ester (516 mg) and 48% hydrobromic acid (5 mL) is heated at 60° for 60 hours. The mixture is cooled to room temperature and concentrated in vacuo. The residue is slurried with diethyl ether and the ether is decanted off. This is repeated until no more color is visible in the ether layer. The remaining solid is dried in vacuo to give 5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide, 350 mg, brown solid: 1H NMR(DMSO-d6) 3.17 (2H, t), 4.40 (2H, t), 7.35 (1H, d), 7.57 (1H, d), 7.63 (1H, s), 12.34 (1H, s), 12.45 (1H, s).","{""Reactants, Solvents, Catalysts"": {""A"": ""5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid methyl ester"", ""B"": ""hydrobromic acid"", ""C"": ""diethyl ether""}, ""Products"": {""D"": ""5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide""}, ""Reaction Steps"": {""1 (Reaction, Heat)"": ""A+B->mixture1"", ""2 (Work-up, Cool)"": ""mixture1->mixture2"", ""3 (Work-up, Concentrate)"": ""mixture2->mixture3"", ""4 (Work-up, Slurry and Decant)"": ""mixture3+C->mixture4"", ""5 (Work-up, Dry)"": ""mixture4->D""}}",,"{'A': 'COC(=O)C1=CNC=2CCN3C=CN=C3C12', 'B': 'Br', 'C': 'C(C)OCC', 'D': 'Br.N=1C=CN2CCC=3NC=C(C3C12)C(=O)O'}",['A.B>D'],['COC(=O)C1=CNC=2CCN3C=CN=C3C12.Br>Br.N=1C=CN2CCC=3NC=C(C3C12)C(=O)O']
"2-Amino-1-(2,4-difluorophenyl)-ethanol-hydrochloride","N-[2-(2,4-difluorophenyl)-2-hydroxy-ethyl]-formamide (1.0 g) was dissolved in methanol (2 mL), 4N hydrochloric acid/ethyl acetate (60 mL) was added. After stirring at 60° C. for 3 hours, the solution was allowed to cooled down to room temperature, and the solid that were generated by adding ethyl acetate (50 mL) was collected by filtration, washed with ethyl acetate, and the title compound (770 mg) was obtained as a colorless solid.","{""Reactants, Solvents, Catalysts"": {""A"": ""N-[2-(2,4-difluorophenyl)-2-hydroxy-ethyl]-formamide"", ""B"": ""methanol"", ""C"": ""hydrochloric acid"", ""D"": ""ethyl acetate""}, ""Products"": {""E"": ""2-amino-1-(2,4-difluorophenyl)-ethanol-hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B->mixture1"", ""2 (Reaction, Add)"": ""mixture1+C+D->mixture2"", ""3 (Reaction, Stir and Heat)"": ""mixture2->mixture3"", ""4 (Work-up, Cool)"": ""mixture3->mixture4"", ""5 (Work-up, Add and Filter)"": ""mixture4+D->mixture5"", ""6 (Work-up, Wash)"": ""mixture5+D->E""}}",,"{'A': 'FC1=C(C=CC(=C1)F)C(CNC=O)O', 'B': 'CO', 'C': 'Cl', 'D': 'C(C)(=O)OCC', 'E': 'Cl.NCC(O)C1=C(C=C(C=C1)F)F'}",['A.B>C.D>E'],['FC1=C(C=CC(=C1)F)C(CNC=O)O.CO>Cl.C(C)(=O)OCC>Cl.NCC(O)C1=C(C=C(C=C1)F)F']
magnesium valproate,"Surprisingly, the inventors have discovered that a heretofore unknown valproate salt, magnesium valproate hydrate, a white solid having the molecular formula C16H30O4Mg.x H2O, is recovered in high yields from an alcoholic solution of magnesium valproate by adding a polar, non-oxygen-containing organic solvent having a boiling point of about 130° C. or lower in a volume sufficient to reduce the solubility of the magnesium valproate in the resulting reaction mixture to less than about 0.01 g/mL. The polar, non-oxygen-containing organic solvent is acetonitrile, propionitrile, butyronitrile, or isobutyronitrile. Acetonitrile is most preferred.","{""Reactants, Solvents, Catalysts"": {""A"": ""magnesium valproate"", ""B"": ""acetonitrile""}, ""Products"": {""C"": ""magnesium valproate hydrate""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+alcoholic solution->mixture1"", ""2 (Reaction, Add)"": ""mixture1+B->mixture2"", ""3 (Work-up, Precipitate)"": ""mixture2->C""}}",,"{'A': 'C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-]', 'B': 'C(C)#N', 'C': 'O.C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-]'}",['A.alcoholic solution>B>C'],['C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-].alcoholic solution>C(C)#N>O.C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-]']
"Biphenyl-2-ylcarbamic Acid 1-{9-[(R)-2-Hydroxy-2-(8-Hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl Ester Naphthalene-1,5-disulfonic Acid Salt","Biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester (1.0 g, 1.56 mmol, free base) was dissolved in methanol (10 mL; low water content). A solution of naphthalene-1,5-disulfonic acid (0.45 g, 1.56 mmol) in methanol (5 mL; low water content) was added and the reaction mixture was stirred at 30° C. for two hours and then at room temperature overnight (18 h). The resulting thick slurry was filtered and the filtrate cake was washed with methanol (5 mL) and then dried to give the title compound (1.16 g, 80% yield) as off-white crystalline solid.","{""Reactants, Solvents, Catalysts"": {""A"": ""biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester"", ""B"": ""naphthalene-1,5-disulfonic acid"", ""C"": ""methanol""}, ""Products"": {""D"": ""biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester naphthalene-1,5-disulfonic acid salt""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+B+C->mixture2"", ""3 (Reaction, Stir)"": ""mixture2->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"", ""6 (Work-up, Dry)"": ""mixture5->D""}}",,"{'A': 'O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O', 'B': 'C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O', 'C': 'CO', 'D': 'C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O.O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O'}",['A.C>B.C>D'],['O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O.CO>C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O.CO>C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O.O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O']
"N-(1S, 2R)-{1-(3,5-Difluoro-benzyl)-2-hydroxy-2-[(5R,2R)-5-pentyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride","Stir N-(1S,2R)-{1-(3,5-Difluoro-benzyl)-2-hydroxy-2-[(5R,2R)-5-pent-4-enyloxy-piperdin-2-yl]-ethyl}-acetamide hydrochloride (0.02 g, 0.04 mmol) and 10% Palladium on carbon (0.004 g, 0.004 mmol) in 2 mL methanol under a balloon of hydrogen at room temperature until all starting material is consumed. Filter the suspension through a pad of filtering agent and wash with methanol. Concentrate under reduced pressure to give the desired compound (0.015 g, 88%).","{""Reactants, Solvents, Catalysts"": {""A"": ""N-(1S,2R)-{1-(3,5-difluorobenzyl)-2-hydroxy-2-[(5R,2R)-5-pent-4-enyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride"", ""B"": ""10% palladium on carbon"", ""C"": ""methanol"", ""D"": ""hydrogen""}, ""Products"": {""E"": ""N-(1S,2R)-{1-(3,5-difluorobenzyl)-2-hydroxy-2-[(5R,2R)-5-pentyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C+D->mixture1"", ""2 (Work-up, Filter)"": ""mixture1->mixture2"", ""3 (Work-up, Wash)"": ""mixture2+C->mixture3"", ""4 (Work-up, Concentrate)"": ""mixture3->E""}}",,"{'A': 'Cl.FC=1C=C(C[C@@H]([C@@H]([C@@H]2NC[C@@H](CC2)OCCCC=C)O)NC(C)=O)C=C(C1)F', 'B': '[10% palladium on carbon (NoSmi)]', 'C': 'CO', 'D': '[H]', 'E': 'Cl.FC=1C=C(C[C@@H]([C@@H]([C@@H]2NC[C@@H](CC2)OCCCCC)O)NC(C)=O)C=C(C1)F'}",['A.B.C.D>E'],['Cl.FC=1C=C(C[C@@H]([C@@H]([C@@H]2NC[C@@H](CC2)OCCCC=C)O)NC(C)=O)C=C(C1)F.[10% palladium on carbon (NoSmi)].CO.[H]>Cl.FC=1C=C(C[C@@H]([C@@H]([C@@H]2NC[C@@H](CC2)OCCCCC)O)NC(C)=O)C=C(C1)F']
4-(Morpholin-4-ylcarbonyl)piperidine-4-carbonitrile hydrochloride,"To tert-Butyl 4-cyano-4-(morpholin-4-ylcarbonyl)piperidine-1-carboxylate (I-2) (11.95 g, 40 mmole) was added 4M HCl in dioxane (80 mL). The resulting reaction mixture was stirred for 1 h at room temperature. After this time, LCMS indicated that the reaction was complete. The reaction was concentrated to afford the title compound (I-3) as a white solid. This product was pure enough for next step reaction. Analytical LCMS: single peak (214 nm), 0.548 min.","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 4-cyano-4-(morpholin-4-ylcarbonyl)piperidine-1-carboxylate"", ""B"": ""4M hydrochloric acid in dioxane"", ""C"": ""dioxane""}, ""Products"": {""D"": ""4-(morpholin-4-ylcarbonyl)piperidine-4-carbonitrile hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Work-up, Concentrate)"": ""mixture2->D""}}",,"{'A': 'C(#N)C1(CCN(CC1)C(=O)OC(C)(C)C)C(=O)N1CCOCC1', 'B': '[4M hydrochloric acid in dioxane (NoSmi)]', 'C': 'O1CCOCC1', 'D': 'Cl.N1(CCOCC1)C(=O)C1(CCNCC1)C#N'}",['A.B>D'],['C(#N)C1(CCN(CC1)C(=O)OC(C)(C)C)C(=O)N1CCOCC1.[4M hydrochloric acid in dioxane (NoSmi)]>Cl.N1(CCOCC1)C(=O)C1(CCNCC1)C#N']
Cefoxitin Sodium,"To cefoxitin acid (11 g) in 12% aqueous acetone (88 ml), 60% aqueous sodium lactate (4.7 g) solution was added at 30° C. and stirred for 10 minutes, excess acetone was added (275 ml) to precipitate the product. The solid was filtered and dried under vacuum to yield the title compound in pure form (10 g)","{""Reactants, Solvents, Catalysts"": {""A"": ""cefoxitin acid"", ""B"": ""aqueous acetone"", ""C"": ""aqueous sodium lactate"", ""D"": ""acetone""}, ""Products"": {""E"": ""cefoxitin sodium""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Reaction, Add)"": ""mixture2+D->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Dry)"": ""mixture4->E""}}",,"{'A': '[cefoxitin acid (NoSmi)]', 'B': 'CC(=O)C', 'C': 'C(C(O)C)(=O)[O-].[Na+]', 'D': 'CC(=O)C', 'E': '[cefoxitin sodium (NoSmi)]'}",['A.B.C>D>E'],['[cefoxitin acid (NoSmi)].CC(=O)C.C(C(O)C)(=O)[O-].[Na+]>CC(=O)C>[cefoxitin sodium (NoSmi)]']
sodium di(2-ethylhexyl) phosphate,"To a four neck flask of 200 ml are added 19.94 g (60 mmol) of di(2-ethylhexyl) phosphate [Starting Material A] and 12.0 g (60 mmol) of a 20% aqueous solution of sodium hydroxide at 20° C., which are agitated for 60 minutes to obtain an aqueous solution of sodium di(2-ethylhexyl) phosphate. Then, 80 g of ethanol is added to this solution and subsequently 17.87 g (20 mmol) of a 26.0% aqueous solution of lanthanum chloride is added at a dropping rate of 1 ml/min, which are further reacted at the same temperature for 0 minute with stirring, whereby lanthanum di(2-ethylhexyl) phosphate is gradually precipitated to cause white turbidity in the solution. The precipitates are dissolved by adding 80 g of cyclohexane to the solution with stirring. The reaction solution is left at rest to remove the separated water layer. After the washing with 25 ml of water three times, a reflux dehydrator is mounted onto the vessel to remove water and ethanol in the reaction solution through azeotropy with cyclohexane, and then the same procedure as in [Example 1] is conducted to obtain 53.8 g of a solution of lanthanum di(2-ethylhexyl) phosphate in cyclohexane having a concentration of about 40%. The analytical results are shown in Table 1.","{""Reactants, Solvents, Catalysts"": {""A"": ""di(2-ethylhexyl) phosphate"", ""B"": ""sodium hydroxide aqueous solution"", ""C"": ""ethanol"", ""D"": ""lanthanum chloride aqueous solution"", ""E"": ""cyclohexane"", ""F"": ""water""}, ""Products"": {""G"": ""lanthanum di(2-ethylhexyl) phosphate solution in cyclohexane""}, ""Reaction Steps"": {""1 (Reaction, Mix)"": ""A+B->mixture1"", ""2 (Reaction, Add)"": ""mixture1+C->mixture2"", ""3 (Reaction, Add and Stir)"": ""mixture2+D->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Add and Dissolve)"": ""mixture4+E->mixture5"", ""6 (Work-up, Rest and Separate)"": ""mixture5->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+F->mixture7"", ""8 (Work-up, Remove solvents by azeotropy)"": ""mixture7+E->G""}}",,"{'A': 'P(=O)(OCC(CCCC)CC)(OCC(CCCC)CC)[O-]', 'B': '[OH-].[Na+]', 'C': 'C(C)O', 'D': '[Cl-].[La+3].[Cl-].[Cl-]', 'E': 'C1CCCCC1', 'F': 'O', 'G': '[lanthanum di(2-ethylhexyl) phosphate solution in cyclohexane (NoSmi)]'}",['A.B>C>D>G'],['P(=O)(OCC(CCCC)CC)(OCC(CCCC)CC)[O-].[OH-].[Na+]>C(C)O>[Cl-].[La+3].[Cl-].[Cl-]>[lanthanum di(2-ethylhexyl) phosphate solution in cyclohexane (NoSmi)]']
4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride,"tert-butyl 4-[4-(pentafluoroethoxy)phenoxy]piperidine-1-carboxylate (3.8 g) was stirred in 4.0M HCl in 1,4-dioxane (50 mL) for 1 hour. The solvent was removed the resulting solid triturated with diethyl ether (50 mL), filtered and washed with diethyl ether (2×50 mL) to yield 4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride as a white solid (2.9 g) NMR Spectrum: (CDCl3) 2.1 (m, 2H), 2.3 (m, 2H), 3.3 (m, 4H), 4.6.(s, 1H), 6.9 (m, 2H), 7.2 (m, 2H), 9.8 (broad, 1H); Mass Spectrum: M−H− 312","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 4-[4-(pentafluoroethoxy)phenoxy]piperidine-1-carboxylate"", ""B"": ""4.0M hydrochloric acid in 1,4-dioxane"", ""C"": ""diethyl ether""}, ""Products"": {""D"": ""4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B->mixture1"", ""2 (Work-up, Remove solvent)"": ""mixture1->mixture2"", ""3 (Work-up, Triturate)"": ""mixture2+C->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->D""}}",,"{'A': 'FC(C(F)(F)F)(OC1=CC=C(OC2CCN(CC2)C(=O)OC(C)(C)C)C=C1)F', 'B': '[4.0M hydrochloric acid in 1,4-dioxane (NoSmi)]', 'C': 'C(C)OCC', 'D': 'Cl.FC(C(F)(F)F)(OC1=CC=C(OC2CCNCC2)C=C1)F'}",['A.B>D'],"['FC(C(F)(F)F)(OC1=CC=C(OC2CCN(CC2)C(=O)OC(C)(C)C)C=C1)F.[4.0M hydrochloric acid in 1,4-dioxane (NoSmi)]>Cl.FC(C(F)(F)F)(OC1=CC=C(OC2CCNCC2)C=C1)F']"
"5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride","250 mg of tert-butyl 5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-indazole-1-carboxylate are stirred in 10 ml of 4N HCl in dioxane in a screw-lid vial until the starting material has completely reacted. The reaction solution is evaporated, and the residue is stirred with ethyl acetate and filtered off with suction, giving 200 mg of 5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride (94%); MS-FAB (M+H+)=322.34; Rf (polar method): 1.687 min.","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-indazole-1-carboxylate"", ""B"": ""hydrogen chloride in dioxane"", ""C"": ""dioxane"", ""D"": ""ethyl acetate""}, ""Products"": {""E"": ""5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C->mixture1"", ""2 (Work-up, Evaporate)"": ""mixture1->mixture2"", ""3 (Work-up, Stir)"": ""mixture2+D->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->E""}}",,"{'A': 'COC=1C=C(CC2=NN=C(O2)NC=2C=C3C=NN(C3=CC2)C(=O)OC(C)(C)C)C=CC1', 'B': '[hydrogen chloride in dioxane (NoSmi)]', 'C': 'O1CCOCC1', 'D': 'C(C)(=O)OCC', 'E': 'Cl.COC=1C=C(CC2=NN=C(O2)NC=2C=C3C=NNC3=CC2)C=CC1'}",['A.B.C>E'],['COC=1C=C(CC2=NN=C(O2)NC=2C=C3C=NN(C3=CC2)C(=O)OC(C)(C)C)C=CC1.[hydrogen chloride in dioxane (NoSmi)].O1CCOCC1>Cl.COC=1C=C(CC2=NN=C(O2)NC=2C=C3C=NNC3=CC2)C=CC1']
4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride,"The above piperazine (85.3 mg, 0.261 mmol) was dissolved in 5 mL of DCM and 5 mL of EtOAc, and cooled to 0° C. Hydrogen chloride gas was bubbled through the mixture for 30 seconds. The reaction stirred for 30 minutes, warming to ambient temperature. The slurry was concentrated to afford 4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride.","{""Reactants, Solvents, Catalysts"": {""A"": ""piperazine"", ""B"": ""dichloromethane"", ""C"": ""ethyl acetate"", ""D"": ""hydrogen chloride""}, ""Products"": {""E"": ""4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"", ""2 (Reaction, Cool)"": ""mixture1->mixture2"", ""3 (Reaction, Bubble)"": ""mixture2+D->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Concentrate)"": ""mixture4->E""}}",,"{'A': 'N1CCNCC1', 'B': 'ClCCl', 'C': 'C(C)(=O)OCC', 'D': 'Cl', 'E': '[Cl-].C(#N)C=1OC2=C(C1)C=C(C=C2)N2CC[NH2+]CC2'}",['A.B.C>D>E'],['N1CCNCC1.ClCCl.C(C)(=O)OCC>Cl>[Cl-].C(#N)C=1OC2=C(C1)C=C(C=C2)N2CC[NH2+]CC2']
