idx,title,paragraph,prediction,error
84,magnesium valproate,"Surprisingly, the inventors have discovered that a heretofore unknown valproate salt, magnesium valproate hydrate, a white solid having the molecular formula C16H30O4Mg.x H2O, is recovered in high yields from an alcoholic solution of magnesium valproate by adding a polar, non-oxygen-containing organic solvent having a boiling point of about 130° C. or lower in a volume sufficient to reduce the solubility of the magnesium valproate in the resulting reaction mixture to less than about 0.01 g/mL. The polar, non-oxygen-containing organic solvent is acetonitrile, propionitrile, butyronitrile, or isobutyronitrile. Acetonitrile is most preferred.","{""Reactants, Solvents, Catalysts"": {""A"": ""magnesium valproate"", ""B"": ""acetonitrile""}, ""Products"": {""C"": ""magnesium valproate hydrate""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+alcoholic solution->mixture1"", ""2 (Reaction, Add)"": ""mixture1+B->mixture2"", ""3 (Work-up, Precipitate)"": ""mixture2->C""}}",
85,"Biphenyl-2-ylcarbamic Acid 1-{9-[(R)-2-Hydroxy-2-(8-Hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl Ester Naphthalene-1,5-disulfonic Acid Salt","Biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester (1.0 g, 1.56 mmol, free base) was dissolved in methanol (10 mL; low water content). A solution of naphthalene-1,5-disulfonic acid (0.45 g, 1.56 mmol) in methanol (5 mL; low water content) was added and the reaction mixture was stirred at 30° C. for two hours and then at room temperature overnight (18 h). The resulting thick slurry was filtered and the filtrate cake was washed with methanol (5 mL) and then dried to give the title compound (1.16 g, 80% yield) as off-white crystalline solid.","{""Reactants, Solvents, Catalysts"": {""A"": ""biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester"", ""B"": ""naphthalene-1,5-disulfonic acid"", ""C"": ""methanol""}, ""Products"": {""D"": ""biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester naphthalene-1,5-disulfonic acid salt""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+B+C->mixture2"", ""3 (Reaction, Stir)"": ""mixture2->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"", ""6 (Work-up, Dry)"": ""mixture5->D""}}",
86,"N-(1S, 2R)-{1-(3,5-Difluoro-benzyl)-2-hydroxy-2-[(5R,2R)-5-pentyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride","Stir N-(1S,2R)-{1-(3,5-Difluoro-benzyl)-2-hydroxy-2-[(5R,2R)-5-pent-4-enyloxy-piperdin-2-yl]-ethyl}-acetamide hydrochloride (0.02 g, 0.04 mmol) and 10% Palladium on carbon (0.004 g, 0.004 mmol) in 2 mL methanol under a balloon of hydrogen at room temperature until all starting material is consumed. Filter the suspension through a pad of filtering agent and wash with methanol. Concentrate under reduced pressure to give the desired compound (0.015 g, 88%).","{""Reactants, Solvents, Catalysts"": {""A"": ""N-(1S,2R)-{1-(3,5-difluorobenzyl)-2-hydroxy-2-[(5R,2R)-5-pent-4-enyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride"", ""B"": ""10% palladium on carbon"", ""C"": ""methanol"", ""D"": ""hydrogen""}, ""Products"": {""E"": ""N-(1S,2R)-{1-(3,5-difluorobenzyl)-2-hydroxy-2-[(5R,2R)-5-pentyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C+D->mixture1"", ""2 (Work-up, Filter)"": ""mixture1->mixture2"", ""3 (Work-up, Wash)"": ""mixture2+C->mixture3"", ""4 (Work-up, Concentrate)"": ""mixture3->E""}}",
87,4-(Morpholin-4-ylcarbonyl)piperidine-4-carbonitrile hydrochloride,"To tert-Butyl 4-cyano-4-(morpholin-4-ylcarbonyl)piperidine-1-carboxylate (I-2) (11.95 g, 40 mmole) was added 4M HCl in dioxane (80 mL). The resulting reaction mixture was stirred for 1 h at room temperature. After this time, LCMS indicated that the reaction was complete. The reaction was concentrated to afford the title compound (I-3) as a white solid. This product was pure enough for next step reaction. Analytical LCMS: single peak (214 nm), 0.548 min.","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 4-cyano-4-(morpholin-4-ylcarbonyl)piperidine-1-carboxylate"", ""B"": ""4M hydrochloric acid in dioxane"", ""C"": ""dioxane""}, ""Products"": {""D"": ""4-(morpholin-4-ylcarbonyl)piperidine-4-carbonitrile hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Work-up, Concentrate)"": ""mixture2->D""}}",
88,Cefoxitin Sodium,"To cefoxitin acid (11 g) in 12% aqueous acetone (88 ml), 60% aqueous sodium lactate (4.7 g) solution was added at 30° C. and stirred for 10 minutes, excess acetone was added (275 ml) to precipitate the product. The solid was filtered and dried under vacuum to yield the title compound in pure form (10 g)","{""Reactants, Solvents, Catalysts"": {""A"": ""cefoxitin acid"", ""B"": ""aqueous acetone"", ""C"": ""aqueous sodium lactate"", ""D"": ""acetone""}, ""Products"": {""E"": ""cefoxitin sodium""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Reaction, Add)"": ""mixture2+D->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Dry)"": ""mixture4->E""}}",
89,sodium di(2-ethylhexyl) phosphate,"To a four neck flask of 200 ml are added 19.94 g (60 mmol) of di(2-ethylhexyl) phosphate [Starting Material A] and 12.0 g (60 mmol) of a 20% aqueous solution of sodium hydroxide at 20° C., which are agitated for 60 minutes to obtain an aqueous solution of sodium di(2-ethylhexyl) phosphate. Then, 80 g of ethanol is added to this solution and subsequently 17.87 g (20 mmol) of a 26.0% aqueous solution of lanthanum chloride is added at a dropping rate of 1 ml/min, which are further reacted at the same temperature for 0 minute with stirring, whereby lanthanum di(2-ethylhexyl) phosphate is gradually precipitated to cause white turbidity in the solution. The precipitates are dissolved by adding 80 g of cyclohexane to the solution with stirring. The reaction solution is left at rest to remove the separated water layer. After the washing with 25 ml of water three times, a reflux dehydrator is mounted onto the vessel to remove water and ethanol in the reaction solution through azeotropy with cyclohexane, and then the same procedure as in [Example 1] is conducted to obtain 53.8 g of a solution of lanthanum di(2-ethylhexyl) phosphate in cyclohexane having a concentration of about 40%. The analytical results are shown in Table 1.","{""Reactants, Solvents, Catalysts"": {""A"": ""di(2-ethylhexyl) phosphate"", ""B"": ""sodium hydroxide aqueous solution"", ""C"": ""ethanol"", ""D"": ""lanthanum chloride aqueous solution"", ""E"": ""cyclohexane"", ""F"": ""water""}, ""Products"": {""G"": ""lanthanum di(2-ethylhexyl) phosphate solution in cyclohexane""}, ""Reaction Steps"": {""1 (Reaction, Mix)"": ""A+B->mixture1"", ""2 (Reaction, Add)"": ""mixture1+C->mixture2"", ""3 (Reaction, Add and Stir)"": ""mixture2+D->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Add and Dissolve)"": ""mixture4+E->mixture5"", ""6 (Work-up, Rest and Separate)"": ""mixture5->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+F->mixture7"", ""8 (Work-up, Remove solvents by azeotropy)"": ""mixture7+E->G""}}",
90,4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride,"tert-butyl 4-[4-(pentafluoroethoxy)phenoxy]piperidine-1-carboxylate (3.8 g) was stirred in 4.0M HCl in 1,4-dioxane (50 mL) for 1 hour. The solvent was removed the resulting solid triturated with diethyl ether (50 mL), filtered and washed with diethyl ether (2×50 mL) to yield 4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride as a white solid (2.9 g) NMR Spectrum: (CDCl3) 2.1 (m, 2H), 2.3 (m, 2H), 3.3 (m, 4H), 4.6.(s, 1H), 6.9 (m, 2H), 7.2 (m, 2H), 9.8 (broad, 1H); Mass Spectrum: M−H− 312","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 4-[4-(pentafluoroethoxy)phenoxy]piperidine-1-carboxylate"", ""B"": ""4.0M hydrochloric acid in 1,4-dioxane"", ""C"": ""diethyl ether""}, ""Products"": {""D"": ""4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B->mixture1"", ""2 (Work-up, Remove solvent)"": ""mixture1->mixture2"", ""3 (Work-up, Triturate)"": ""mixture2+C->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->D""}}",
91,"5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride","250 mg of tert-butyl 5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-indazole-1-carboxylate are stirred in 10 ml of 4N HCl in dioxane in a screw-lid vial until the starting material has completely reacted. The reaction solution is evaporated, and the residue is stirred with ethyl acetate and filtered off with suction, giving 200 mg of 5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride (94%); MS-FAB (M+H+)=322.34; Rf (polar method): 1.687 min.","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-indazole-1-carboxylate"", ""B"": ""hydrogen chloride in dioxane"", ""C"": ""dioxane"", ""D"": ""ethyl acetate""}, ""Products"": {""E"": ""5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C->mixture1"", ""2 (Work-up, Evaporate)"": ""mixture1->mixture2"", ""3 (Work-up, Stir)"": ""mixture2+D->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->E""}}",
92,4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride,"The above piperazine (85.3 mg, 0.261 mmol) was dissolved in 5 mL of DCM and 5 mL of EtOAc, and cooled to 0° C. Hydrogen chloride gas was bubbled through the mixture for 30 seconds. The reaction stirred for 30 minutes, warming to ambient temperature. The slurry was concentrated to afford 4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride.","{""Reactants, Solvents, Catalysts"": {""A"": ""piperazine"", ""B"": ""dichloromethane"", ""C"": ""ethyl acetate"", ""D"": ""hydrogen chloride""}, ""Products"": {""E"": ""4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"", ""2 (Reaction, Cool)"": ""mixture1->mixture2"", ""3 (Reaction, Bubble)"": ""mixture2+D->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Concentrate)"": ""mixture4->E""}}",
93,"(8aS)-7-(3-fluorobenzyl)hexahydropyrrolo[1,2-a]pyrazin-6(2H)-one hydrochloride","To a solution of the product from Example 213A (72 mg, 0.207 mmol) in 1,4-dioxane (1 mL) was added a 4 M solution of hydrogen chloride in 1,4-dioxane (1 mL, 4.0 mmol). The resulting mixture was stirred at room temperature for 90 minutes and concentrated and dried in vacuo to give the title compound (59 mg, quantitative).","{""Reactants, Solvents, Catalysts"": {""A"": ""product from Example 213A"", ""B"": ""1,4-dioxane"", ""C"": ""hydrogen chloride in 1,4-dioxane""}, ""Products"": {""D"": ""(8aS)-7-(3-fluorobenzyl)hexahydropyrrolo[1,2-a]pyrazin-6(2H)-one hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Work-up, Concentrate and Dry)"": ""mixture2->D""}}",
94,(Phenyl)[2-(trimethylsilyl)phenyl]iodonium Triflate,"Iodobenzene diacetate (9.66 g, 30 mmol) was dissolved in CH2Cl2 (60 mL) with stirring and the solution chilled to 0° C. Triflic acid (5.1 mL, 58 mmol) was added dropwise to the solution and the reaction mixture was stirred for 2 h. A solution of 1,2-bis(trimethylsilyl)benzene (6.67 g, 30 mmol) in CH2Cl2 (10 mL) was added at 0° C. and the reaction was allowed to stir at room temperature for 2 h. Concentration of the reaction mixture gave crystals which were triturated in ether and collected by filtration to yield white crystals (9.82 g, 65.14%). 1H NMR (400 MHz, CDCl3) δ 8.11-7.47 (m, 9H, ArH), 0.42 (s, 9H, CH3); 13C NMR (400 MHz, CDCl3): δ 139.0, 138.4, 133.3, 133.2, 132.4, 132.3, 132.1, 109.6, 0.1.","{""Reactants, Solvents, Catalysts"": {""A"": ""iodobenzene diacetate"", ""B"": ""dichloromethane"", ""C"": ""triflic acid"", ""D"": ""1,2-bis(trimethylsilyl)benzene"", ""E"": ""ether""}, ""Products"": {""F"": ""(phenyl)[2-(trimethylsilyl)phenyl]iodonium triflate""}, ""Reaction Steps"": {""1 (Reaction, Dissolve and Cool)"": ""A+B->mixture1"", ""2 (Reaction, Add)"": ""mixture1+C->mixture2"", ""3 (Reaction, Stir)"": ""mixture2->mixture3"", ""4 (Reaction, Add)"": ""mixture3+D->mixture4"", ""5 (Reaction, Stir)"": ""mixture4->mixture5"", ""6 (Work-up, Concentrate)"": ""mixture5->mixture6"", ""7 (Work-up, Triturate)"": ""mixture6+E->mixture7"", ""8 (Work-up, Filter)"": ""mixture7->F""}}",
95,4-{3-[4-(3-{4-[amino(imino)methyl]phenoxy}propyl)-1-piperidinyl]propoxy}benzamidine hydrochloride,"To an ethanol (10 mL) suspension of 0.50 g of 4-{3-[4-(3-{4-[amino(imino)methyl]phenoxy}propyl)-1-piperidinyl]propoxy}benzamidine was added 1.77 mL of a 2.6 mol/mL hydrogen chloride/ethanol solution at room temperature, which was then stirred at room temperature for 4 hours and 15 minutes. The precipitate was collected by filtration to provide 0.49 g of 4-{3-[4-(3-{4-[amino(imino)methyl]phenoxy}propyl)-1-piperidinyl]propoxy}benzamidine hydrochloride as colorless solid form.","{""Reactants, Solvents, Catalysts"": {""A"": ""4-{3-[4-(3-{4-[amino(imino)methyl]phenoxy}propyl)-1-piperidinyl]propoxy}benzamidine"", ""B"": ""ethanol"", ""C"": ""hydrogen chloride/ethanol solution""}, ""Products"": {""D"": ""4-{3-[4-(3-{4-[amino(imino)methyl]phenoxy}propyl)-1-piperidinyl]propoxy}benzamidine hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Work-up, Filter)"": ""mixture2->D""}}",
96,5-(4-cyclopropyl-1H-imidazol-1-yl)-2-fluoro-4-methylbenzoic acid hydrochloride,"5-(4-Cyclopropyl-1H-imidazol-1-yl)-2-fluoro-4-methylbenzonitrile (11.21 g, 46.50 mmol) was placed in a round bottom flask fitted with a reflux condenser, and suspended in 38% hydrochloric acid (200 mL). The mixture was heated to 100° C. for 4.5 hours, and then cooled to room temperature. Solvent was removed under reduced pressure to give a pink solid, to which was added 100 ml of EA. The solid product was collected by filtration and washed with 3×100 mL EA. To the solid product was added 100 mL 10% methanol in dichloromethane, the mixture stirred, and the filtrate collected. This was repeated with 2 more 100 ml portions of 10% methanol in dichloromethane. The filtrates were combined and solvent was removed under reduced pressure, to provide crude 5-(4-cyclopropyl-1H-imidazol-1-yl)-2-fluoro-4-methylbenzoic acid hydrochloride. No further purification was carried out (11.13 g, 37.54 mmol). Anal. LC/MS (m/z: 261, M+1)","{""Reactants, Solvents, Catalysts"": {""A"": ""5-(4-cyclopropyl-1H-imidazol-1-yl)-2-fluoro-4-methylbenzonitrile"", ""B"": ""hydrochloric acid"", ""C"": ""ethyl acetate"", ""D"": ""methanol"", ""E"": ""dichloromethane""}, ""Products"": {""F"": ""5-(4-cyclopropyl-1H-imidazol-1-yl)-2-fluoro-4-methylbenzoic acid hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Suspend and Heat)"": ""A+B->mixture1"", ""2 (Work-up, Cool)"": ""mixture1->mixture2"", ""3 (Work-up, Evaporate)"": ""mixture2->mixture3"", ""4 (Work-up, Add and Filter)"": ""mixture3+C->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"", ""6 (Work-up, Add and Stir)"": ""mixture5+D+E->mixture6"", ""7 (Work-up, Collect Filtrate)"": ""mixture6->mixture7"", ""8 (Work-up, Repeat Add and Stir)"": ""mixture5+D+E->mixture8"", ""9 (Work-up, Collect Filtrate and Combine)"": ""mixture7+mixture8->mixture9"", ""10 (Work-up, Evaporate)"": ""mixture9->F""}}",
97,"5,10-Dihydro-10-ethyl-5-[3-(2-methyl-piperidino)-propionyl]-11H-dibenzo[b,e][1,4]diazepin-11-one hydrochloride","6.6 gm (0.02 mol) of 5-(3-chloro-propionyl)-5,10-dihydro-10-ethyl-11H-dibenzo[b,e][1,4]diazepin-11-one (m.p. 133°-134° C.) and 5 gm (0.05 mol) of 2-methyl-piperidine were refluxed in 100 ml of isopropanol for 2 hours. The reaction mixture was evaporated in vacuo, the residue was dissolved in methylene chloride, and the solution was washed with water. After evaporation of the solvent, the residue was dissolved in hot acetone, and the calculated amount of hydrochloric acid was added.","{""Reactants, Solvents, Catalysts"": {""A"": ""5-(3-chloro-propionyl)-5,10-dihydro-10-ethyl-11H-dibenzo[b,e][1,4]diazepin-11-one"", ""B"": ""2-methyl-piperidine"", ""C"": ""isopropanol"", ""D"": ""methylene chloride"", ""E"": ""water"", ""F"": ""acetone"", ""G"": ""hydrochloric acid""}, ""Products"": {""H"": ""5,10-Dihydro-10-ethyl-5-[3-(2-methyl-piperidino)-propionyl]-11H-dibenzo[b,e][1,4]diazepin-11-one hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Reflux)"": ""A+B+C->mixture1"", ""2 (Work-up, Evaporate)"": ""mixture1->mixture2"", ""3 (Work-up, Dissolve)"": ""mixture2+D->mixture3"", ""4 (Work-up, Wash)"": ""mixture3+E->mixture4"", ""5 (Work-up, Evaporate)"": ""mixture4->mixture5"", ""6 (Work-up, Dissolve)"": ""mixture5+F->mixture6"", ""7 (Work-up, Add)"": ""mixture6+G->H""}}",
98,1-(N-Methyl-aminoacetamido)-2-(2-chlorobenzoyl)pyrrole hydrobromide,"1-(N-Methyl-(t-butoxycarbonylamino)acetamido]-2-(2-chlorobenzoyl)pyrrole (24 g, 61.2 mmol) was dissolved in 100 ml of ethyl acetate, and 60 ml of n-propanol solution containing 12 ml of 48% HBr was added thereto with stirring. After 1 hour at 35° the solution was evaporated and the residue triturated with ether to give 23.2 g of powder. This powder was recrystallized from isopropanol-ether to give 22 g (96%) of flocculent crystals, m.p. 193°-195°.","{""Reactants, Solvents, Catalysts"": {""A"": ""1-(N-Methyl-(t-butoxycarbonylamino)acetamido]-2-(2-chlorobenzoyl)pyrrole"", ""B"": ""ethyl acetate"", ""C"": ""n-propanol"", ""D"": ""hydrobromic acid"", ""E"": ""ether"", ""F"": ""isopropanol""}, ""Products"": {""G"": ""1-(N-Methyl-aminoacetamido)-2-(2-chlorobenzoyl)pyrrole hydrobromide""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B->mixture1"", ""2 (Reaction, Add)"": ""mixture1+C+D->mixture2"", ""3 (Reaction, Stir and Heat)"": ""mixture2->mixture3"", ""4 (Work-up, Evaporate)"": ""mixture3->mixture4"", ""5 (Work-up, Triturate)"": ""mixture4+E->mixture5"", ""6 (Work-up, Recrystallize)"": ""mixture5+F+E->G""}}",
99,3-hydroxy-2-cyclobuten-1-one-diethylammonium salt,"2.1 g of 1,3-cyclobutanedione (23.0 mmol) was suspended in 40 g of ethyl acetate. A solution of 1.84 g of diethylamine (25.0 mmol) in 10 g of ethyl acetate was instilled in this suspension at 20° C. within 15 minutes. After 1 hour of stirring at room temperature, the suspension was filtered and then dried. 3.05 g of the title product with a purity (according to HPLC) of 93.7 percent, corresponding to a yield of 79.2 percent, relative to the cyclobutanedione, was obtained. Data for the title compound was:","{""Reactants, Solvents, Catalysts"": {""A"": ""1,3-cyclobutanedione"", ""B"": ""ethyl acetate"", ""C"": ""diethylamine""}, ""Products"": {""D"": ""3-hydroxy-2-cyclobuten-1-one-diethylammonium salt""}, ""Reaction Steps"": {""1 (Reaction, Suspend)"": ""A+B->mixture1"", ""2 (Reaction, Add and Stir)"": ""mixture1+C->mixture2"", ""3 (Work-up, Filter)"": ""mixture2->mixture3"", ""4 (Work-up, Dry)"": ""mixture3->D""}}",
100,Diethyl[3-(1-tridecynyl)phenyl]phosphonate,"Diethyl-3-iodophenylphosphonate prepared according to Example 7 (2.0 g, 5.88 mmol) and 1-tridecyne (1.79 g, 9.97 mmol) were dissolved in triethyl amine (40 ml) in a two neck round bottom flask equipped with a condenser and a nitrogen dispersing tube. The flask was inerted. Triphenylphosphine (0.047 g, 0.179 mmol) and palladium acetate (0.015 g, 0.0668 mmol) were then added and the flask was heated in an oil bath to 100° to 105° C. for 40 hours. After cooling to room temperature and filtering, the triethylamine was removed on the rotary evaporator. The residue was extracted several times with acetonitrile, and the combined extracts were stripped down to a reddish brown liquid. Chromatography on silica eluting with 20% hexane in ethyl acetate gave the product as a pale yellow oil, 0.410 g, 1.045 mmol, 17.7% yield; 1H NMR (CDCl3) ∂ 0.88 (t, J=6.8 Hz, 3H), 1.18 to 1.50 (several m, 22H), 1.60 (quint, J=7.6 Hz, 2H), 2.40 (t, J=7.1 Hz, 2H), 4.11 (m, 4H), 7.38 (m, 1H), 7.55 (br d, J=7.8 Hz, 1H), 7.71 (dd, J=13.2, 7.6 Hz, 1H), 7.83 (d, J=14.1 Hz, 1H); FAB mass spectrum m/z 399 (M+Li)+.","{""Reactants, Solvents, Catalysts"": {""A"": ""diethyl-3-iodophenylphosphonate"", ""B"": ""1-tridecyne"", ""C"": ""triethylamine"", ""D"": ""triphenylphosphine"", ""E"": ""palladium acetate"", ""F"": ""acetonitrile"", ""G"": ""hexane"", ""H"": ""ethyl acetate""}, ""Products"": {""I"": ""diethyl[3-(1-tridecynyl)phenyl]phosphonate""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+D+E->mixture2"", ""3 (Reaction, Heat)"": ""mixture2->mixture3"", ""4 (Work-up, Cool and Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Evaporate)"": ""mixture4->mixture5"", ""6 (Work-up, Extract)"": ""mixture5+F->mixture6"", ""7 (Work-up, Evaporate)"": ""mixture6->mixture7"", ""8 (Work-up, Chromatograph)"": ""mixture7+G+H->I""}}",
101,"(2aR, 4S)-1-Benzoyl-4-(di-n-propyl)amino-6-bromo-1,2,2a,3,4,5-hexahydrobenz[cd]indole","(2aR, 4S)-1-Benzoyl-4-amino-6-bromo-1,2,2a,3,4,5-hexahydrobenz[cd]indole (9.82 g, 0.0275 mol) was placed in 500 ml round bottom flask equipped with a mechanical stirrer, condenser topped with a nitrogen inlet, and a thermocouple. Acetonitrile (175 ml) and K2CO3 (0.275 mol) were added, followed by the addition of propyl iodide (13.2 ml, 0.137 mol) with vigorous stirring. The reaction mixture was stirred at 75°±5° C. under nitrogen overnight. After cooling to room temperature, the reaction mixture was diluted with CH2Cl2 (200 ml) and washed successively with H2O, NaHCO3 solution, H2O, brine and dried over Na2SO4. After filtration, the volatiles were removed in vacuo to provide 11.5 g (94%) crude product. This material was then recrystallized from 95% ethanol to provide the desired product as colorless needles 9.7 g (80.0%).","{""Reactants, Solvents, Catalysts"": {""A"": ""(2aR, 4S)-1-Benzoyl-4-amino-6-bromo-1,2,2a,3,4,5-hexahydrobenz[cd]indole"", ""B"": ""acetonitrile"", ""C"": ""potassium carbonate"", ""D"": ""propyl iodide"", ""E"": ""dichloromethane"", ""F"": ""water"", ""G"": ""sodium bicarbonate solution"", ""H"": ""brine"", ""I"": ""sodium sulfate"", ""J"": ""ethanol""}, ""Products"": {""K"": ""(2aR, 4S)-1-Benzoyl-4-(di-n-propyl)amino-6-bromo-1,2,2a,3,4,5-hexahydrobenz[cd]indole""}, ""Reaction Steps"": {""1 (Reaction, Add and Stir)"": ""A+B+C+D->mixture1"", ""2 (Reaction, Heat and Stir)"": ""mixture1->mixture2"", ""3 (Work-up, Cool)"": ""mixture2->mixture3"", ""4 (Work-up, Dilute)"": ""mixture3+E->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+F->mixture5"", ""6 (Work-up, Wash)"": ""mixture5+G->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+F->mixture7"", ""8 (Work-up, Wash)"": ""mixture7+H->mixture8"", ""9 (Work-up, Dry)"": ""mixture8+I->mixture9"", ""10 (Work-up, Filter)"": ""mixture9->mixture10"", ""11 (Work-up, Evaporate)"": ""mixture10->mixture11"", ""12 (Work-up, Recrystallize)"": ""mixture11+J->K""}}",
102,N-(2-hydroxyethyl)-4-nitrobenzenamine,"The above acetanilide (11.05 g, 0.05 mol) is treated with nitric acid-sulfuric acid mixture and hydrolyzed with 2.5 N hydrochloric acid, in the manner as set forth subsequently herein in Example 11, to provide N-(2-hydroxyethyl)-4-nitrobenzenamine.","{""Reactants, Solvents, Catalysts"": {""A"": ""acetanilide"", ""B"": ""nitric acid-sulfuric acid mixture"", ""C"": ""hydrochloric acid""}, ""Products"": {""D"": ""N-(2-hydroxyethyl)-4-nitrobenzenamine""}, ""Reaction Steps"": {""1 (Reaction, Treat)"": ""A+B->mixture1"", ""2 (Reaction, Hydrolyze)"": ""mixture1+C->mixture2"", ""3 (Work-up, Isolate)"": ""mixture2->D""}}",
103,4-(4-Fluorophenyl)-5-[4-(methylsulfonyl)phenyl]-1-phenyl-3-(trifluoromethyl)pyrazole,"To a mixture of 140 mg of 4-(4-fluorophenyl)-5-[4-(methylthio)phenyl]-1-phenyl-3-(trifluoromethyl)pyrazole and 30 mL of glacial acetic acid was added 4.1 g of 30% hydrogen peroxide. The reaction mixture was stirred at room temperature for 18 hours, heated at 80 ° C. for 8 hours, and poured into water. The insoluble solid was filtered and air dried to give 150 mg of solid, mp 201.5°-203 ° C.","{""Reactants, Solvents, Catalysts"": {""A"": ""4-(4-fluorophenyl)-5-[4-(methylthio)phenyl]-1-phenyl-3-(trifluoromethyl)pyrazole"", ""B"": ""glacial acetic acid"", ""C"": ""hydrogen peroxide"", ""D"": ""water""}, ""Products"": {""E"": ""4-(4-fluorophenyl)-5-[4-(methylsulfonyl)phenyl]-1-phenyl-3-(trifluoromethyl)pyrazole""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Reaction, Heat)"": ""mixture2->mixture3"", ""4 (Work-up, Quench and Dilute)"": ""mixture3+D->mixture4"", ""5 (Work-up, Filter)"": ""mixture4->mixture5"", ""6 (Work-up, Dry)"": ""mixture5->E""}}",
