source_row,idx,title,ground_truth_valid,noise_label,generation_success,structured_output_success,json_reaction_step_count,reaction_processing_success,name_to_smiles_success,reaction_step_count,atom_mapping_success,template_processing_success,extraction_exact,template_anomaly_passed,template_anomaly_filtered,denoising_correct,strict_end_to_end_success
40,40,2(S)-ethoxy-3-{4-[6-(3-heptyl-1-methylureido)pyrid-2-yl]phenyl}propanoic acid hydrochloride,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
41,41,"1,1-dimethyl-4-cyclohexylpiperazin-1-ium iodide",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
42,42,styrene methyl styrene,False,noisy,1,1,2,1,1,1,1,0,0,0,1,1,1
43,43,"Step 2: (2S)-2-aminopropyl-2,2-dimethylpropanoate hydrochloride",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
44,44,"Synthesis of sodium 1,1,3,3,3-pentafluoro-2-hydroxy-propanesulfonate",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
45,45,Flupirtine Maleate,True,noise-free,1,1,5,1,1,1,1,0,1,0,1,0,0
46,46,"triphenylsulfonium 2-hydroxy-1,1-difluoroethanesulfonate",True,noise-free,1,1,2,1,1,1,1,0,1,0,1,0,0
47,47,"[4′-(6-Ethoxy-pyridin-3-yl)-2′-ethylaminomethyl-6-methoxy-biphenyl-3-yl]-acetic acid ethyl ester, hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
48,48,"sodium 2,6-difluorobenzoate",True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
49,49,ethyl 2-(4-piperidinyl)-4-thiazolecarboxylate monohydrochloride,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
50,50,2-[(1-methylpiperidin-4-yl)-amino]-4-(trifluoromethyl)pyrimidine-5-carboxylic acid hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
51,51,"1,1-difluoro-6-aza-spiro[2.5]octane hydrochloride",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
52,52,tetrabutylammonium 4-phenoxybutylsulfonate,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
53,53,Nalbuphine hydrochloride,True,noise-free,1,1,2,1,1,1,1,0,1,0,1,0,0
54,54,6-[(4-Fluorophenyl)oxy]-N-methyl-N-(4-{[(3S)-3-methyl-1-piperazinyl]methyl}phenyl)-3-pyridinecarboxamide fumarate,True,noise-free,1,1,3,1,0,1,0,0,0,0,1,0,0
55,55,2-[2-(6-chlorohexyloxy)-ethoxy]-ethyl-ammonium trifluoro-acetate,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
56,56,Trimethyl-(4-methyl-1H-indol-3-ylmethyl)-ammonium iodide,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
57,57,Dimethyl-(1H-pyrrol-3-ylmethylene)-ammonium chlorid,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
58,58,N-ethyl-3-methylbutan-1-amine hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
59,59,(Z)—(R)-4-amino-5-biphenyl-4-yl-2-methyl-pent-2-enoic acid hydrochloride,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
60,60,1-amino-3-phenoxypropan-2-ol hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
61,61,"tert-butyl [(1R,5S,6S)-6-aminomethyl-3-ethylbicyclo[3.2.0]hept-3-en-6-yl]acetate D-mandelate",True,noise-free,1,1,2,1,1,1,1,0,1,0,1,0,0
62,62,"2-(4-(5-chloro-2-fluorobenzoyl)piperidin-1-yl)-3-(isopropylamino)-N,N-dimethyl-7,8-dihydropyrido[3,4-b]pyrazine-6(5H)-carboxamide",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
63,63,"1-methyl-1,2,5,6-tetrahydropyridine-3-carboxylic acid hydrochloride",True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
64,64,1-(3-(tert-butyl)-1-(p-tolyl)-1H-pyrazol-5-yl)-3-(4-((2-((6-ethylpyrazin-2-yl)amino)pyridin-4-yl)methoxy)naphthalen-1-yl)urea maleate,True,noise-free,1,1,4,1,1,1,1,0,1,0,1,0,0
65,65,"8-(cyclohexylmethoxy)-2-methyl-N-[(3S)-1-methylpyrrolidin-3-yl]imidazo[1,2-a]pyridine-3-carboxamide hydrochloride",True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
66,66,1-[3'-isopropoxy-2'-(pentachlorophenylthio)propyl]imidazole nitrate,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
67,67,"1-Phenyl-8-[(trans-1,2,3,4-tetrahydro-1-hydroxy-6-methoxy-2-naphthalenyl)methyl]-1,3,8-triazaspiro-[4.5]decan-4-one, hydrochloride",True,noise-free,1,1,2,1,1,1,1,0,1,0,1,0,0
68,68,"1-Phenyl-8-[(trans-1,2,3,4-tetrahydro-1-hydroxy-6-methoxy-2-naphthalenyl)methyl]-1,3,8-triazaspiro-[4.5]decan-4-one, hydrochloride",False,noisy,1,1,3,1,1,1,1,1,0,0,1,1,1
69,69,α-vinyltyrosine hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
70,70,"PREPARATION OF AQUOSULPHATO (N,N'-DIETHYLETHYLENEDIAMINE) PLATINUM (II)",False,noisy,1,1,4,1,0,1,0,0,0,0,1,1,1
71,71,triphenylsulfonium hexafluoroarsenate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
72,72,"2-[2-aminoethanoyl]aminophenyl-3,1-benzoxazin-4-one hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
73,73,1-(3-(1-Imidazolyl)-propyl)-2-(phthalimido-methyl)-5-methyl-pyrrole hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,0,0,1,0,0
74,74,"4-benzyl-6-chloro-3,4-dihydro-2-methyl-3-oxo-N-(3-quinuclidinyl)-2H-1,4-benzoxazine-8-carboxamide hydrochloride",True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
75,75,"1,3-Dimethyl-5-(3,5-dichloro-(4-(2-(1,1,2,2,3,3,3-heptafluoropropoxy)-1,1,2-trifluoroethoxy))-phenylcarbamoyl)barbituric acid, triethylammonium salt (Example 15)",True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
76,76,bis(1-naphthylmethyl)ethylsulfonium hexafluoroantimonate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
77,77,2-{[[4-(3-Chloropropylthio)-3-methoxy-2-pyridinyl]-methyl]thio}-1H-benzimidazole Dihydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
78,78,"4-(3,4-dichloroanilino)-6-fluoroquinazoline hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
79,79,"2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate",False,noisy,1,1,3,1,0,1,0,0,0,0,1,1,1
80,80,"(+)-(5)6-Methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole Sodium Salt",True,noise-free,1,1,3,1,1,1,1,0,1,0,1,0,0
81,81,o-Bromobenzoic Acid Potassium Salt,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
82,82,"5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
83,83,"2-Amino-1-(2,4-difluorophenyl)-ethanol-hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
84,84,magnesium valproate,False,noisy,1,0,0,0,0,1,0,0,0,0,1,1,1
85,85,"Biphenyl-2-ylcarbamic Acid 1-{9-[(R)-2-Hydroxy-2-(8-Hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl Ester Naphthalene-1,5-disulfonic Acid Salt",True,noise-free,1,1,2,1,1,1,1,0,1,0,1,0,0
86,86,"N-(1S, 2R)-{1-(3,5-Difluoro-benzyl)-2-hydroxy-2-[(5R,2R)-5-pentyloxy-piperidin-2-yl]-ethyl}-acetamide hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
87,87,4-(Morpholin-4-ylcarbonyl)piperidine-4-carbonitrile hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
88,88,Cefoxitin Sodium,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
89,89,sodium di(2-ethylhexyl) phosphate,False,noisy,1,1,2,1,1,1,1,1,0,0,1,1,1
90,90,4-[4-(pentafluoroethoxy)phenoxy]piperidine hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
91,91,"5-[5-(3-methoxybenzyl)-1,3,4-oxadiazol-2-ylamino]-1H-indazole hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
92,92,4-(2-cyano-1-benzofuran-5-yl)piperazin-1-ium chloride,False,noisy,1,1,4,1,1,1,1,1,0,0,1,1,1
93,93,"(8aS)-7-(3-fluorobenzyl)hexahydropyrrolo[1,2-a]pyrazin-6(2H)-one hydrochloride",False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
94,94,(Phenyl)[2-(trimethylsilyl)phenyl]iodonium Triflate,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
95,95,4-{3-[4-(3-{4-[amino(imino)methyl]phenoxy}propyl)-1-piperidinyl]propoxy}benzamidine hydrochloride,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
96,96,5-(4-cyclopropyl-1H-imidazol-1-yl)-2-fluoro-4-methylbenzoic acid hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,1,0,1,0,0
97,97,"5,10-Dihydro-10-ethyl-5-[3-(2-methyl-piperidino)-propionyl]-11H-dibenzo[b,e][1,4]diazepin-11-one hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
98,98,1-(N-Methyl-aminoacetamido)-2-(2-chlorobenzoyl)pyrrole hydrobromide,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
99,99,3-hydroxy-2-cyclobuten-1-one-diethylammonium salt,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
100,100,Diethyl[3-(1-tridecynyl)phenyl]phosphonate,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
101,101,"(2aR, 4S)-1-Benzoyl-4-(di-n-propyl)amino-6-bromo-1,2,2a,3,4,5-hexahydrobenz[cd]indole",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
102,102,N-(2-hydroxyethyl)-4-nitrobenzenamine,True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
103,103,4-(4-Fluorophenyl)-5-[4-(methylsulfonyl)phenyl]-1-phenyl-3-(trifluoromethyl)pyrazole,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
104,104,hydroxybenzothiazole,False,noisy,1,0,0,0,0,1,0,0,0,0,1,1,1
105,105,tetrahydropyran-2-yloxymethyl-2-oxo-oxazolidine-3-carboxylic acid {1-[4-(4-fluorophenyl)cyclohexyl]-(3R)-pyrrolidin-3-yl}amide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
106,106,dimethyl 4-fluoro-2-nitrophenylmalonate,True,noise-free,1,1,3,1,1,1,1,1,0,1,0,1,0
107,107,1-[4-(Pyridin-2-yl)-phenyl]-4(S)-hydroxy-2-N-(N-methoxy-carbonyl-(L)-valyl)amino-5(S)-N-(N-methoxycarbonyl-(L)-iso-leucyl)amino-6-phenyl-2-azahexane,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
108,108,"Pregna-4,20-dien-3,6-dione",False,noisy,1,1,2,1,0,2,0,0,0,0,1,1,1
109,109,5-(2-chlorophenyl)tetrazole,False,noisy,1,1,6,1,1,1,1,1,0,1,0,0,0
110,110,"[2-Chloro-4-(3-methyl-pyrazol-1-yl)-phenyl]-(11H-5-oxa-4,10-diaza-dibenzo[a,d]cyclohepten-10-yl)-methanone",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
111,111,2-benzyloxy-4-chloro-N-tert-butoxycarbonylaniline,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
112,112,"5-(chloromethyl)-3-phenyl-1,2,4-oxadiazole",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
113,113,6-amino-1-propylpyrimidinedione,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
114,114,"3-Methylthio-8-oxo-6-(2-cyclopropylmethoxyphenyl)-7,8-dihydropyrimido[4,5-e][1,2,4]triazine",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
115,115,5-ethyl-2-[1-(2-fluorobenzyl)-indazol-3-yl]-5-hydroxymethyl-oxazole,True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
116,116,"N,N′-bis-Boc-(2R)-2,5-diamino-N-[(1R)-1-[(RS)-(5-tert-butyl-2-benzoxazolyl)-hydroxymethyl]-3-phenylpropyl]-valeramide",True,noise-free,1,1,2,1,1,2,1,1,1,1,0,1,1
117,117,4-nitrobenzoic acid 2-bromo-ethyl ester,True,noise-free,1,1,4,1,1,1,1,1,0,1,0,1,0
118,118,"N-(4-chloro-2-hydroxy-3-aminosulfonylphenyl)-N′(2,3-methylenedioxyphenyl) urea",False,noisy,1,1,3,1,1,1,1,1,0,1,0,0,0
119,119,(6-But-3-enyl-2-hydroxypyridin-3-yl)carbamic Acid Benzyl Ester,False,noisy,1,1,3,1,0,1,0,0,0,0,1,1,1
120,120,Methyl [4-(4-imidazol-1-yl-methyl-3-isopropyl-phenylethynyl)-phenyl]-acetate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
121,121,4-Carboxyphenylboronic Acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
122,122,3-Carboxy-4-(4-fluorophenyl)piperidine-6-one,False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
123,123,"1,7-diacetamido-3,5-dimethyladamantane",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
124,124,3-[2-(2-diethylamino-ethyl)-cyclopropyl]-1-(toluene-4-sulfonyl)-1H-indole-5-carbonitrile,False,noisy,1,1,2,1,1,1,1,1,0,1,0,0,0
125,125,"11β-fluor-7α-{5-[methyl-(4,4,5,5,6,6,7,7,8,8,9,9,9-tridecafluoro-nonyl)-amino]-pentyl}-estra-1,3,5(10)-triene-3,17β-diol",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
126,126,"30.b. ethyl 7-chloro-4-(chloromethyl)-6-methoxy-2-oxo-1,2-dihydro-3-quinolinecarboxylate",False,noisy,1,1,4,1,1,1,1,1,0,1,0,0,0
127,127,2-(4-Vinylphenoxy)ethanol,False,noisy,1,1,5,1,1,1,1,1,0,1,0,0,0
128,128,thiadiazolopyrimidine,False,noisy,1,1,7,1,0,6,0,0,0,0,1,1,1
129,129,"2-butene-1,4-dibutyrate",False,noisy,1,1,4,1,1,1,1,1,0,1,0,0,0
130,130,[4-(2-{[4-chlorophenyl]amino}-6-methoxy-1-methylbenzimidazol-5-yloxy)(2-pyridyl)]-N-(2-pyrrolidinylethyl)carboxamide,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
131,131,"7-(4-bromo-2-chlorophenylamino)-imidazo[1,2-a]pyridine-6-carboxylic acid cyclopropylmethoxyamide",True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
132,132,4-(2-Pyridyl)benzoic acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
133,133,2-[(2-chlorophenyl) dimethylaminomethyl]cyclohexanone,False,noisy,1,1,3,1,1,1,1,1,0,1,0,0,0
134,134,Methyl 3-benzo[b]thiophen-2-yl-1H-indazole-5-carboxylate,True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
135,135,"General Procedure for the Preparation of Terpyridyl Proteomimetics According to FIG. 19, Scheme 19",False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
136,136,"[5-(5-Cyano-pyridin-2-yloxy)-1,2,3,4-tetrahydro-naphthalen-1-ylmethyl]-carbamic acid tert-butyl ester",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
137,137,(2E)-3-(5-{(tert-butoxycarbonyl){(3R)-1-(2-ethylbutyl)-3-pyrrolidinyl}amino}-2-pyridinyl)-N-(tetrahydro-2H-pyran-2-yloxy)acrylamide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
138,138,"2-(3-bromo-propyl)-isoindole-1,3-dione",True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
139,139,"methyl (S)-2,3,11,11a-tetrahydro-1H,5H-pyrrolo[2,1-c][1,4]benzoxazepine-5-one-7-carboxylate",True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
140,140,3-methylsulfanyl-benzoic acid methyl ester,False,noisy,1,1,2,1,1,1,1,1,0,1,0,0,0
141,141,4-(3-{[4-(4-acetyl-2-chloro-3-hydroxy-phenoxymethyl)-phenyl]-hydroxy-methyl}-phenyl)-3H-thiazol-2-one,False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
142,142,2-Chloro-5-methanesulfonyl-benzoic acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
143,143,(R)-1-(2-methyl-2-oxiranylmethyl)-2-(4-nitrophenylthio)imidazole,False,noisy,1,1,2,1,1,1,1,1,0,1,0,0,0
144,144,t-butyl 4-(6-hydroxymethylpyridine-2-carbonyl)piperazine-1-carboxylate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
145,145,ethyl 1-tert-butyl-5-(3-chloropropyl)-1H-pyrazole-3-carboxylate,True,noise-free,1,1,6,1,1,1,1,1,1,1,0,1,1
146,146,"2-(2,5-Dimethyl-3-thienyl)acetic acid",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
147,147,3-ethyl-1-phenyl-1H-pyrazole-4-carbaldehyde,False,noisy,1,1,3,1,1,1,1,1,0,1,0,0,0
148,148,3-hydroxy-3-methyl-1-decene,False,noisy,1,1,4,1,1,1,1,1,0,1,0,0,0
149,149,"1-((2,2-difluorocyclopropyl)methyl)-3-(4-methyl-5-(1H-pyrazol-3-yl)thiazol-2-yl)imidazolidin-2-one",False,noisy,1,1,3,1,1,1,1,1,0,1,0,0,0
150,150,2-(4-Bromo-benzoyl)-3-oxo-butyric acid methyl ester,False,noisy,1,1,4,1,1,1,1,1,0,1,0,0,0
151,151,"Biphenyl-2-ylcarbamic Acid 1-(2-{[3-(4-(1,3-Dioxolan-2-yl)-phenylcarbamoyl)propyl]methylcarbamoyl}ethyl)piperidin-4-yl Ester",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
152,152,N-(6-hydroxy-(2-naphthyl))(benzyloxy)carboxamide,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
153,153,"1-(2-Amino-4,6-dichloropyrimidin-5-yl)-2-(2,2-dimethyl-[1,3]dioxolan-4-yl)ethan-1-ol",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
154,154,3-[6-Chloro-2-(ethylamino)-3-pyridinyl]-2-cyano-3-hydroxy-N-methyl-2-propenamide,True,noise-free,1,1,3,1,1,1,1,1,0,1,0,1,0
155,155,"3-(3-Amino-2-fluorobenzyl)-7-(pyrimidin-2-yloxy)-benzo[e][1,3]oxazine-2,4-dione",False,noisy,1,1,6,1,1,1,1,1,0,1,0,0,0
156,156,5-(1-bromoethyl)-2-fluoropyridine,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
157,157,"1-[4-(4-chloro-3-methoxy-phenyl)-piperazin-1-yl]-2-[3-(oxazole-2-yl)-pyrazolo[3,4-b]pyridine-2-yl]ethanone",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
158,158,"(S)-3-cyclopentyl-N-[1-(2-isopropoy-ethyl)-1H-pyrazol-3-yl]-2-(1-oxo-4-trifluoromethyl-1,3-dihydro-isoindol-2-yl)-propionamide",True,noise-free,1,1,3,1,1,1,1,1,0,1,0,1,0
159,159,"1-(4-nitrophenyl)-1H-imidazo[4,5-c]pyridine-4-carboxylic acid methyl ester",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
